SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2017202N19124,ROKE,2017,2017-07-20,2017-07-24,3
2017209N19118,HAITANG,2017,2017-07-26,2017-07-31,4
2017206N13129,NESAT,2017,2017-07-27,2017-08-01,3
2017232N19130,HATO,2017,2017-08-20,2017-08-25,4
2017236N15129,PAKHAR,2017,2017-08-23,2017-08-29,4
2017242N19122,MAWAR,2017,2017-08-29,2017-09-05,6
2017247N16132,GUCHOL,2017,2017-09-03,2017-09-08,3
2017253N14130,DOKSURI,2017,2017-09-10,2017-09-17,6
2017267N18116,UNNAMED,2017,2017-09-22,2017-09-26,3
2017282N17113,UNNAMED,2017,2017-10-07,2017-10-11,3
2017284N15134,KHANUN,2017,2017-10-11,2017-10-17,5
2017291N09116,UNNAMED,2017,2017-10-17,2017-10-21,2
2017304N11127,DAMREY,2017,2017-10-30,2017-11-06,5
2017305N08108,UNNAMED,2017,2017-10-30,2017-11-02,2
2017307N07102,UNNAMED,2017,2017-11-02,2017-11-08,5
2017312N10134,HAIKUI,2017,2017-11-07,2017-11-15,6
2017321N07124,KIROGI,2017,2017-11-15,2017-11-20,4
2017347N11131,KAI-TAK,2017,2017-12-15,2017-12-24,8
2017354N08134,TEMBIN,2017,2017-12-21,2017-12-27,5
2017364N07138,BOLAVEN,2018,2017-12-31,2018-01-05,3
2018039N08151,SANBA,2018,2018-02-12,2018-02-17,4
2018153N12113,EWINIAR,2018,2018-06-01,2018-06-12,9
2018164N21120,UNNAMED,2018,2018-06-12,2018-06-14,1
2018165N22117,GAEMI,2018,2018-06-12,2018-06-16,3
2018184N10147,MARIA,2018,2018-07-09,2018-07-11,1
2018195N19138,SON-TINH,2018,2018-07-15,2018-07-25,9
2018202N18116,UNNAMED,2018,2018-07-19,2018-07-23,3
2018221N17112,BEBINCA,2018,2018-08-08,2018-08-18,9
2018234N22119,UNNAMED,2018,2018-08-21,2018-08-26,4
2018251N20122,BARIJAT,2018,2018-09-07,2018-09-14,6
2018250N12170,MANGKHUT,2018,2018-09-13,2018-09-18,4
2018294N08161,YUTU,2018,2018-10-28,2018-11-04,5
2018321N10113,TORAJI,2018,2018-11-15,2018-11-22,5
2018311N07179,USAGI,2018,2018-11-19,2018-11-27,6
2018358N07140,UNNAMED,2018,2018-12-28,2018-12-31,2
2018365N08115,PABUK,2018,2018-12-29,2019-01-05,5
2019071N04161,UNNAMED,2019,2019-03-18,2019-03-20,1
2019178N10137,UNNAMED,2019,2019-06-29,2019-07-02,1
2019182N18114,MUN,2019,2019-06-30,2019-07-05,4
2019195N13136,DANAS,2019,2019-07-15,2019-07-19,2
2019210N16117,WIPHA,2019,2019-07-28,2019-08-05,7
2019214N15134,LEKIMA,2019,2019-08-07,2019-08-09,1
2019231N13135,BAILU,2019,2019-08-22,2019-08-26,3
2019236N08143,PODUL,2019,2019-08-26,2019-09-01,4
2019242N18126,KAJIKI,2019,2019-08-29,2019-09-08,8
2019243N06136,LINGLING,2019,2019-09-01,2019-09-05,3
2019250N24123,UNNAMED,2019,2019-09-06,2019-09-08,1
2019268N10155,MITAG,2019,2019-09-28,2019-10-01,2
2019302N11118,BULBUL:MATMO,2019,2019-10-27,2019-11-02,5
2019308N13114,NAKRI,2019,2019-11-03,2019-11-12,8
2019314N14136,KALMAEGI,2019,2019-11-16,2019-11-23,6
2019322N11144,FUNG-WONG,2019,2019-11-20,2019-11-23,2
2019329N09160,KAMMURI,2019,2019-12-01,2019-12-07,5
2019354N05151,PHANFONE,2019,2019-12-23,2019-12-30,5
2020129N07134,VONGFONG,2020,2020-05-13,2020-05-19,4
